"","id","site","location","latitude","longitude","depth","temperature","total_length","total_weight","age","logTL","logDepth","logAge","logTW"
"74","074-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,15.4,29,170,42.6,0.699538401608145,5.13579843705026,2.73436750941958,-0.357334587729946,3.75185425327532
"75","075-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,15.6,29,83,3.9,0.36019520559665,4.4188406077966,2.74727091425549,-1.02110915672129,1.3609765531356
"76","076-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,10.1,29,148,33.3,0.603696187478883,4.99721227376411,2.31253542384721,-0.50468420845747,3.5055573969864
"77","077-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,13.8,29,121,17.1,0.496149020325827,4.79579054559674,2.62466859216316,-0.700878953176236,2.83907846350861
"78","078-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,9.9,29,89,5.8,0.380609472614035,4.48863636973214,2.29253475714054,-0.965981435795976,1.75785791755237
"79","079-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,13.5,29,98,9.6,0.411935415605688,4.58496747867057,2.60268968544438,-0.886888700159088,2.26176309847379
"80","080-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,15.8,29,152,36.9,0.620531512234724,5.02388052084628,2.76000994003292,-0.477178890397792,3.60821155104648
"81","081-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,14.3,29,102,9.4,0.426140146019588,4.62497281328427,2.66025953726586,-0.8529870055486,2.24070968927596
"82","082-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,13.3,29,89,6.3,0.380609472614035,4.48863636973214,2.58776403522771,-0.965981435795976,1.84054963339749
"83","083-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,19.8,29,89,5,0.380609472614035,4.48863636973214,2.98568193770049,-0.965981435795976,1.6094379124341
"84","084-Pl-29/07/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,16.8,29,96,7.9,0.404899085778505,4.56434819146784,2.82137888640921,-0.9041174138411,2.06686275947298
"85","085-Po-29/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,13.3,29,94,9.4,0.397906056716712,4.54329478227,2.58776403522771,-0.921539339959369,2.24070968927596
"86","086-Cs-30/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,23.4,29,239,105.1,1.06654281819499,5.47646355193151,3.15273602236366,0.0644224064543223,4.65491227788291
"87","087-Cs-30/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,24.6,29,272,194.1,1.2952754971742,5.605802066296,3.20274644293832,0.2587234116564,5.26837349017496
"88","088-Cs-30/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,24.6,29,292,397.7,1.46025505381568,5.67675380226828,3.20274644293832,0.378611114857256,5.98569795221364
"89","089-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,20.4,29,85,3.1,0.366959294832213,4.44265125649032,3.01553490085017,-1.00250435034262,1.1314021114911
"90","090-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,14.6,29,128,19.7,0.523069214783105,4.85203026391962,2.68102152871429,-0.648041481832122,2.98061863574394
